isbn		396516660188.585
asterix	(noun)	388800767087.838
Kokborok	(proper noun)	363145370043.783
Barma		334093740440.28
Rajaji		275763515376.998
rajaji		275763515376.998
Friulian	(noun)|(proper noun)|(adjective)	189024517311.719
troubadours	(noun)|(plural)	177539349905.23
Onrum		165458109226.199
Patippakam		165458109226.199
Peire	(proper noun)	159783974642.4
Veerashaiva		123469425814.886
franquin		117641166789.492
madras	(noun)	110305406150.799
Kurai		110305406150.799
Tavam		110305406150.799
Illai		110305406150.799
pattu		108943611013.135
nederlands		108288069356.545
Franquin		106163979785.639
Waray		101680703612.259
Hedayat		94453556847.646
hebrew		94039700036.1881
suomi	(noun)|(verb)	90402959998.5159
sanskrit	(noun)|(adjective)	89994419092.002
chinese		88783248097.8454
punjabi		87154889201.2469
Zarrinkoub		83929891507.0136
Insubric		79891981409.6323
Getafix		76036363900.5254
Divan		75858471037.7923
Golshiri		73438077106.087
Arnaut		72629723358.0509
Navya		72629721168.5815
Aimeric		72629075681.268
Folquet		72629075486.6485
Champignac		68863122023.1174
Khosrow		68797684035.1021
pahlavi		68195861258.9728
dupuis		65993825272.1541
Thucydides	(proper noun)	65369694028.4081
Bernart	(proper noun)	65366253748.6097
Guiraut		65366169563.6647
tamil	(adjective)|(noun)	65092927071.0452
telugu	(noun)|(adjective)	64969085078.874
Pilote		64559176896.6725
Farrokhzad		62947727575.7117
bharati		62472377430.1871
chakravarthi		62415610476.2752
andrzej		58987011958.2137
occitan	(noun)|(adjective)	58476168535.0325
josef		58104091150.0144
Kavirajamarga		58103259207.0053
egyptian		57705415274.0838
pali	(noun)|(verb)|(plural)	57703556880.3193
syriac		57703013619.8234
sumerian		57703013587.9015
norse		57703013587.9015
prakrit		57703013585.6515
akkadian		57699764351.4011
plighted	(verb)	55163760537.4668
ramayana		55154496408.2329
Bakshi		55153997395.0494
Govindam		55153350235.2245
Sumathi		55152703075.3995
allatu		55152703075.3995
chakravarti		55152703075.3995
bhatia		55152703075.3995
Thirukkural		55152703075.3995
nirantarac		55152703075.3995
viruntu		55152703075.3995
kaivilakku		55152703075.3995
thirumakal		55152703075.3995
mahabharatha		55152703075.3995
Siraiyil		55152703075.3995
siraiyil		55152703075.3995
vijayam		55152703075.3995
Refuted		55152703075.3995
bhaja		55152703075.3995
celvam		55152703075.3995
galego	(adjective)|(noun)|(proper noun)	54929107162.2771
Marsupilami		54516638268.3012
Timurid		53665402871.6718
hermann		51310504246.6227
Bertran		50856942074.0765
Navodaya		50840998965.9545
franciszek		50840351806.1296
Rajmala		50840351806.1296
Shyamlal		50840351806.1296
Dwivedi		50840351806.1296
eesti	(adjective)|(noun)	50326215528.5724
Vitalstatistix		50212693141.8564
Dehlavi		47815546633.3762
Olrik		45908748015.4116
jaroslav		45493805091.3807
tagalog	(noun)	44246787862.7107
playwriting	(noun)	43644652264.2074
champu		43579385884.7287
Woodyard		43579170164.787
Uc		43577445883.1458
malayalam	(noun)|(proper noun)	43577444601.3735
yoruba	(noun)	43577444422.3399
Jamatia		43577444405.254
Pranesh		43577444405.254
Kernewek	(proper noun)	43577444405.254
Sudhanya		43577444405.254
Kaul		43577444405.254
Boson	(noun)	43577444405.254
Kaal		43577444405.254
felibres		43577444405.254
Khusraw		41981575901.7774
Kasravi		41981574389.7136
Forough		41965419831.1155
Abdolhossein		41965276017.8211
mohammad		41964700957.7629
Taghi		41964616474.4538
Houshang		41964615489.1926
Etesami		41964615489.1926
dehkhoda		41964615489.1926
Sepid		41964615489.1926
Meskoob		41964615489.1926
Behbahani		41964615489.1926
Dehkhoda		41964615489.1926
Akhavan		41964615489.1926
Chubak		41964615489.1926
Youshij		41964615489.1926
simin		41964615489.1926
Bahman	(proper noun)	41158573933.2015
euskara	(noun)	41004635612.8769
Rastapopoulos		40170154513.4851
Khariboli	(proper noun)	39946637864.641
carlo		36953542284.1446
Banham		36564257383.5686
Gascon	(adjective)|(noun)|(proper noun)	36398503621.6904
Soyinka		36354913234.3927
vishnu		36326411958.9961
tripadi		36315184164.2032
kashmiri		36314622423.1908
Faidit		36314541438.0539
venetian		36314537442.2722
Cueillette		36314537004.3783
Haridasa		36314537004.3783
Riquier		36314537004.3783
Adhunik		36314537004.3783
Haskalah		36314537004.3783
Felibrige		36314537004.3783
Beunans		36314537004.3783
Pegulhan		36314537004.3783
friulian		36314537004.3783
Bahan		36314537004.3783
Vrittanta		36314537004.3783
Guillem	(proper noun)	36314537004.3783
Debbarma		36314537004.3783
kaal	(adjective)|(noun)|(verb)|(adverb)	36314537004.3783
ragale		36314537004.3783
Asplet		36314537004.3783
Lucente		36314537004.3783
balac		36314537004.3783
Soir		35868390555.3391
Zorglub		35866209387.0403
obelix		32996912636.0771
Asteriks		32996912636.0771
Janry		32996912636.0771
trimeter	(noun)	32750087946.7319
monogatari	(noun)	32700730252.7373
apollonius		32684306154.837
monodic	(adjective)	32684305716.9431
timaeus		32683658557.1182
arrian		32683658557.1182
callimachus		32683658557.1182
Eudoxus		32683658557.1182
Cnidus		32683658557.1182
appian		32683658557.1182
yomihon		32683083303.9405
letteratura	(noun)	32505334598.8474
AIs		32335566193.211
albanian	(noun)	32281304890.3873
panegyric	(noun)	31498066330.0813
Kermani		31490420568.6733
Malkom		31490047615.3758
Shamlou		31473893056.7777
manuel	(noun)|(adjective)	31473704230.7746
Tusi		31473466187.2576
Sohrab		31473462602.1557
Shahrokh		31473461616.8944
Bijan		31473461616.8944
sepid		31473461616.8944
Rostam		31473461616.8944
galician		31472603725.013
jesters	(noun)|(plural)	30901103703.8621
