what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1302482529988
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1302482529988
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1302482529989
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1302482529993
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1302482530003
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1302482530015
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1302482530015
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1302482530062
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1302482530102
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1302482530104
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1302482530105
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1302482530106
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1302482530107
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1302482530120
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1302482530150
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1302482530153
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1302482530155
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1302482530155
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1302482530166
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1302482530181
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1302482530189
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1302482530284
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1302482530284
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1302482530293
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1302482530301
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1302482530320
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1302482530330
os,sysinfo,,,"linux",1302482530335
arch,sysinfo,,,"x86_64",1302482530335
ws,sysinfo,,,"gtk",1302482530335
locale,sysinfo,,,"en_US",1302482530335
processors,sysinfo,,,"2",1302482530336
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1302482530336
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1302482530336
java.specification.name,sysinfo,,,"Java Platform API Specification",1302482530336
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302482530336
java.specification.version,sysinfo,,,"1.6",1302482530336
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302482530336
java.version,sysinfo,,,"1.6.0_20",1302482530336
java.vm.info,sysinfo,,,"mixed mode",1302482530336
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1302482530336
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302482530336
