what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106488257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106514834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106524716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106549250
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308106561204
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308106563352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308106576831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308106592507
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308106594964
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106599124
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308106604617
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106604644
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1308106611212
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106611590
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1308106613209
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106613224
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308106631107
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308106632672
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308106636557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106636597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106638782
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308106652382
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308106672173
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308106672334
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308106672507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106684612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106700306
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308106709938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106719542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106792569
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308106833619
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106841475
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308106854942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106857778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106859957
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1308106863105
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308106865192
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308106872511
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308106879359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308106922963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106946210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106969175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308106974229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107025716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107034904
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308107052754
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107055749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308107062140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308107063026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308107064992
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308107065643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107085830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107135794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107137108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107172980
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308107173241
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1308107174316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107177434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107179515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1308107179531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107180155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107185139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107187264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308107202446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308107221779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107231601
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1308107231621
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107234325
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107241484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107243852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107256029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107317834
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107346375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308107347657
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308107348413
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107366714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107413714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107436295
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107442773
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107442920
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107443106
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107443676
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107448301
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107483426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107507929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107523632
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308107579672
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308107595614
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308107600856
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107605042
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107611299
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1308107613796
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308107620461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107632532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107660304
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107660328
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308107666066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107686430
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308107686452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107696336
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107696365
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1308107696459
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308107696486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107698259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107711522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107714517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107774960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1308107784676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308107787171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107812955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308107865061
