enzyme
fahreinheit	22764.60217
coenzymes	15935.221519
denatured	11382.301085
catalyze	3252.08602428
substrate	3079.05837043
inhibitor	1114.35115517
reaction	991.882827206
reused	590.193389592
speed	554.268574573
enzyme	525.640987605
enzymes	496.151585756
cofactors	482.885500575
allosteric	408.595423564
induced	364.23363472
suffix	318.70443038
Different	274.745198603
polarity	241.442750288
binds	221.322521097
shape	176.366383999
acidic	175.112324384
function	161.070298373
stomach	160.961833525
fit	148.927303916
influence	100.64350433
biological	75.1661392405
active	66.8143459916
binding	64.4628702224
prefer	61.2893135346
